指标,属性,熵值,权重
CO2总量_Mt,负向,0.9585059303562409,0.11238216454402554
人均CO2_吨每人,负向,0.9799620149191139,0.054270698338926664
碳排放强度_吨每万元GDP,负向,0.9817806069370725,0.049345240095006106
煤炭相关排放占比,负向,0.9182303831727684,0.22146409383014065
第二产业占比,负向,0.9564034172879403,0.11807659200381208
人均GDP_万元每人,正向,0.899280354618995,0.27278818050874026
城镇化率_%,正向,0.9366143843209791,0.1716730306793487
