指标,均值,标准差,变异系数,基尼系数,泰尔指数,最小值,最大值
CO2总量_Mt,380.2821851723053,245.60402454167183,0.6458467793604085,0.35487023025229547,0.20407377256868092,44.6919345401215,920.905304452066
人均CO2_吨每人,9.801717767850194,7.799189298253924,0.7956961711176179,0.3512626340732554,0.23116082889136094,3.276303436233305,36.60015596067401
碳排放强度_吨每万元GDP,1.3010845828533018,1.0353827806885765,0.7957843743086737,0.3882864588110366,0.25553020439650964,0.1719608733464919,4.880524110090322
煤炭相关排放占比,0.7112999704071521,0.17851190840918782,0.25096571887526803,0.12626747977680486,0.044658990247603045,0.02124105320950062,0.9399085097909095
