类型,CO2总量_Mt,人均CO2_吨每人,碳排放强度_吨每万元GDP,煤炭相关排放占比,第二产业占比,人均GDP_万元每人,城镇化率_%
资源依赖高排放型,628.4559129708078,24.11210129242808,3.2241378122414197,0.9060199485893469,0.46410523865499165,7.30874863768409,63.688
工业制造高排放型,470.0502747580596,8.214343337896958,0.8473671842159165,0.7082695179208464,0.4222879216574088,10.31489455011064,71.5
中等转型压力型,255.04155088292404,6.219660628765646,1.066635868445566,0.7043473693040496,0.3636014721608621,6.100421062746349,59.01307692307692
经济发达效率型,125.0715406282562,5.246002510221238,0.28595514622021384,0.2848441945533596,0.2076729291602987,18.547072621822622,88.44999999999999
