情景,达峰年份,峰值_Mt,2030年_Mt,2035年_Mt,2045年_Mt,2045较峰值下降比例,2030年强度_吨每万元GDP,2045年强度_吨每万元GDP,2045较2024强度下降比例
基准情景,2032,12435.42345505836,12404.201326687142,12350.991434873022,11014.121747257679,0.1142945966365575,0.7206053099960766,0.40512641500172863,0.5407702482583225
低碳情景,2026,11958.53262328352,11828.996532289173,11229.457126900863,8902.518350209522,0.2555509416869317,0.6951521051602526,0.341024969322206,0.6134322369503317
强化低碳情景,2024,11901.436668,11258.301586367701,10164.950298371989,7113.980362668196,0.40225868849969026,0.6695465683271268,0.2853231531819286,0.6765728524482153
