情景,年份,预测CO2_Mt,预测GDP_亿元,碳排放强度_吨每万元GDP,人口_万人,人均GDP_万元每人,煤炭相关排放占比,第二产业占比,城镇化率,STIRPAT对数增长项
基准情景,2024,11901.436668,1349083.54627817,0.8821867778932959,140828.0,9.579654232668007,0.639,0.399559288308554,0.652410637147876,0.0
基准情景,2025,12026.076877382235,1408382.5135548268,0.8538927998351686,140687.172,10.010738673138066,0.635,0.39905928830855397,0.6559106371478759,0.010418243961077297
基准情景,2026,12134.919661929962,1468877.8204254762,0.8261354003163416,140539.4504694,10.451711711689796,0.6307,0.398484288308554,0.6593106371478759,0.00900985360169649
基准情景,2027,12227.509711473658,1530501.0493858797,0.7989220076902268,140384.85707388367,10.902180486463626,0.6261,0.397834288308554,0.6626106371478758,0.007601088866681795
基准情景,2028,12303.45671628166,1593177.4051985843,0.7722590513859362,140223.4144882487,11.361707393968068,0.6212,0.397109288308554,0.6658106371478758,0.006191949076582269
基准情景,2029,12362.4381053337,1656825.7347156142,0.7461519848649412,140055.1463908628,11.82980973859955,0.616,0.396309288308554,0.6689106371478758,0.004782433550087024
基准情景,2030,12404.201326687142,1721358.5793247453,0.7206053099960766,139880.07745787423,12.30595958057818,0.6105,0.395434288308554,0.6719106371478758,0.0033725416040206583
基准情景,2031,12428.565647397514,1786682.261129268,0.6956226027308331,139698.233357179,12.789583792094902,0.6047,0.394484288308554,0.6748106371478758,0.001962272553334586
基准情景,2032,12435.42345505836,1852697.0037836863,0.6712065399610412,139509.64074214682,13.28006433052174,0.5986,0.393459288308554,0.6776106371478758,0.00055162571110261
基准情景,2033,12424.741047858166,1919297.0887047811,0.6473589274416542,139314.32724510782,13.776738736483253,0.5922000000000001,0.392359288308554,0.6803106371478759,-0.0008593996114881078
基准情景,2034,12396.558905054348,1986371.0471600678,0.6240807286623421,139112.32147060242,14.278900863428069,0.5855,0.391184288308554,0.6829106371478759,-0.0022708041051437778
基准情景,2035,12350.991434873022,2053801.8885052495,0.6013720945529967,138903.65298839653,14.785801844079767,0.5785,0.38993428830855403,0.6854106371478759,-0.0036825884624688368
基准情景,2036,12288.226201993788,2121467.3646002887,0.5792323939100069,138688.35232626452,15.296651297792724,0.5712,0.388609288308554,0.6878106371478758,-0.0050947533779756695
基准情景,2037,12208.522641906382,2189240.270181977,0.5576602444322646,138466.4509625425,15.810618781398562,0.5636,0.387209288308554,0.6901106371478758,-0.006507299548090254
基准情景,2038,12112.210274465255,2256988.7787111634,0.5366535442582857,138237.9813184543,16.326835484611227,0.5557,0.385734288308554,0.6923106371478758,-0.007920227671158598
基准情景,2039,11999.686433855615,2324576.812947213,0.5162095038985535,138002.9767502129,16.844396169473402,0.5475,0.384184288308554,0.6944106371478758,-0.009333538447455025
基准情景,2040,11871.413536858858,2391864.4492329354,0.4963246784601857,137761.4715409,17.36236135168471,0.539,0.382559288308554,0.6964106371478758,-0.010747232579188885
基准情景,2041,11727.915915708361,2458708.354202401,0.4769950000642865,137513.50089212638,17.879759719964916,0.5302,0.38085928830855403,0.6983106371478758,-0.012161310770511705
基准情景,2042,11569.776245904397,2524962.252354231,0.4582158103598158,137259.10091547595,18.395590787885904,0.5211,0.379084288308554,0.7001106371478758,-0.01357577372752347
基准情景,2043,11397.631603060287,2590477.422666444,0.43998189304149254,136998.30862373655,18.908827770867923,0.5117,0.377234288308554,0.7018106371478758,-0.014990622158281527
基准情景,2044,11212.169186137471,2655103.2221683506,0.42228750628311906,136731.16192192025,19.418420679292815,0.502,0.375309288308554,0.7034106371478759,-0.01640585677280663
基准情景,2045,11014.121747257679,2718687.634132838,0.40512641500172863,136457.6995980764,19.923299616954427,0.492,0.373309288308554,0.7049106371478758,-0.01782147828308994
低碳情景,2024,11901.436668,1349083.54627817,0.8821867778932959,140828.0,9.579654232668007,0.639,0.399559288308554,0.652410637147876,0.0
低碳情景,2025,11940.122885061879,1405687.044629363,0.8494154463954761,140687.172,9.991579364672731,0.633,0.39855928830855397,0.655410637147876,0.0032452785589664485
低碳情景,2026,11958.53262328352,1463258.148861929,0.8172537861883391,140539.4504694,10.411725276957219,0.6266,0.397459288308554,0.658310637147876,0.001540650841773529
低碳情景,2027,11956.567367860473,1521722.320915496,0.7857259635034586,140384.85707388367,10.839647185840159,0.6198,0.396259288308554,0.661110637147876,-0.00016435268330035379
低碳情景,2028,11934.232669342227,1580999.2297073377,0.754853794049691,140223.4144882487,11.27485902035164,0.6126,0.394959288308554,0.663810637147876,-0.0018697326996267483
低碳情景,2029,11891.63813460087,1641002.8302324507,0.7246567717934038,140055.1463908628,11.716833493949423,0.605,0.39355928830855397,0.6664106371478761,-0.0035754898924516823
低碳情景,2030,11828.996532289173,1701641.474503231,0.6951521051602526,139880.07745787423,12.165002375092987,0.597,0.39205928830855397,0.668910637147876,-0.005281624948899381
低碳情景,2031,11746.622022985324,1762818.054990249,0.6663547601939158,139698.233357179,12.618756963683957,0.5886,0.390459288308554,0.671310637147876,-0.0069881385579818765
低碳情景,2032,11644.927534617022,1824430.1810259046,0.6382775101905463,139509.64074214682,13.07744877931387,0.5798,0.388759288308554,0.673610637147876,-0.008695031410604848
低碳情景,2033,11524.42131384528,1886370.388421014,0.6109309913145846,139314.32724510782,13.540390466101583,0.5706,0.386959288308554,0.6758106371478759,-0.01040230419957307
低碳情景,2034,11385.702693715011,1948526.38232208,0.584323763691952,139112.32147060242,14.006856917658784,0.5609999999999999,0.38505928830855396,0.6779106371478759,-0.012109957619600311
低碳情景,2035,11229.457126900863,2010781.3131056752,0.558462377470419,138903.65298839653,14.476086624400354,0.5509999999999999,0.38305928830855396,0.6799106371478759,-0.013817992367313275
低碳情景,2036,11056.450542158987,2073014.084867752,0.5333514433339865,138688.35232626452,14.947283244024586,0.5406,0.38095928830855397,0.6818106371478759,-0.015526409141261495
低碳情景,2037,10867.523089018867,2135099.6958216536,0.5089937069583396,138466.4509625425,15.419617394535765,0.5297999999999999,0.378759288308554,0.683610637147876,-0.0172352086419228
低碳情景,2038,10663.582342209314,2196909.609671115,0.48539012689765104,138237.9813184543,15.892228667678287,0.5186,0.37645928830855396,0.685310637147876,-0.01894439157170998
低碳情景,2039,10445.59604272259,2258312.1567757134,0.462539955399089,138002.9767502129,16.364227859108333,0.5069999999999999,0.37405928830855395,0.686910637147876,-0.020653958634979395
低碳情景,2040,10214.584456712215,2319172.9636782696,0.4404408216501289,137761.4715409,16.8346994100577,0.4949999999999999,0.37155928830855395,0.688410637147876,-0.022363910538036744
低碳情景,2041,9971.612436545189,2379355.4093188024,0.4190888169750147,137513.50089212638,17.302704053657305,0.48259999999999986,0.36895928830855396,0.6898106371478759,-0.024074247989145498
低碳情景,2042,9717.781270260293,2438721.1060202033,0.3984785815102461,137259.10091547595,17.767281657498003,0.4697999999999999,0.366259288308554,0.6911106371478759,-0.025784971698533214
低碳情景,2043,9454.220406413911,2497130.403099061,0.3786033919045942,136998.30862373655,18.2274542524272,0.4565999999999999,0.36345928830855395,0.6923106371478759,-0.027496082378399764
低碳情景,2044,9182.079140836491,2554442.9107334027,0.3594552496066642,136731.16192192025,18.68222923602526,0.4429999999999999,0.36055928830855394,0.6934106371478759,-0.029207580742923157
低碳情景,2045,8902.518350209522,2610518.041509822,0.341024969322206,136457.6995980764,19.130602737689866,0.4289999999999999,0.35755928830855394,0.6944106371478759,-0.030919467508268322
