指标,数值
R2,0.8761976444536235
调整R2,0.8504054870481284
F统计量,33.971475541125
F检验p值,3.919247555233417e-10
AIC,17.942928613103966
BIC,26.350112903076898
RMSE_log,0.26716476247359067
MAE_log,0.2015665144670163
