变量,标准化岭回归系数,绝对值排序
煤炭相关排放占比,0.5046791092884689,1
lnP,0.4781259105230592,2
lnA,0.16295847237789293,3
城镇化率,0.07496179205320978,4
第二产业占比,0.04133688031010832,5
