变量,系数,标准误,t值,p值
const,-3.273574002537531,0.8956011173142856,-3.6551696276957233,0.0012530082989365514
lnP,0.6447396912673453,0.0807379988775869,7.985579283986031,3.258365177956009e-08
lnA,0.4502201901386722,0.38601420735203357,1.1663306209040245,0.25494037234543976
煤炭相关排放占比,2.8275076802037407,0.5797582648481872,4.877045920068322,5.678270172925858e-05
第二产业占比,0.5080416272830783,1.1515851214554347,0.4411672379380764,0.6630408025869485
城镇化率,0.8028763571626261,1.3460731624518913,0.5964581863441771,0.556453986325504
